James Anderson
Glenn McGrath
Malcolm Marshall
Dale Steyn
Wasim Akram
Waqar Younis
Curtly Ambrose
Richard Hadlee
Allan Donald
Shaun Pollock
Imran Khan
Dennis Lillee
Fred Trueman
Courtney Walsh
Joel Garner
Michael Holding
Andy Roberts
Kapil Dev
Ian Botham
Bob Willis
Shoaib Akhtar
Makhaya Ntini
Chaminda Vaas
Lasith Malinga
Mitchell Starc
Pat Cummins
Josh Hazlewood
Brett Lee
Mitchell Johnson
Jason Gillespie
Jeff Thomson
Kagiso Rabada
Morne Morkel
Vernon Philander
Anrich Nortje
Jasprit Bumrah
Trent Boult
Tim Southee
Shane Bond
Neil Wagner
Javagal Srinath
Zaheer Khan
Mohammed Shami
Ishant Sharma
Umesh Yadav
Bhuvneshwar Kumar
Chris Woakes
Mark Wood
Jofra Archer
Darren Gough
Steve Harmison
Andrew Flintoff
Matthew Hoggard
John Snow
Harold Larwood
Frank Tyson
Alec Bedser
Brian Statham
Wes Hall
Charlie Griffith
Ian Bishop
Kemar Roach
Shannon Gabriel
Jerome Taylor
Fidel Edwards
Patrick Patterson
Heath Streak
Chris Martin
Kyle Jamieson
Matt Henry
Danny Morrison
Ryan Harris
Peter Siddle
Craig McDermott
Terry Alderman
Merv Hughes
Mohammad Amir
Mohammad Asif
Shaheen Shah Afridi
Naseem Shah
Umar Gul
Aaqib Javed
Fazal Mahmood
Jhulan Goswami
Katherine Sciver-Brunt
Anya Shrubsole
Ellyse Perry
Megan Schutt
Shabnim Ismail
Marizanne Kapp
Ayabonga Khaka
Lea Tahuhu
Darcie Brown
Renuka Singh Thakur
Pooja Vastrakar
Diana Baig
Fatima Sana
Issy Wong
Tayla Vlaeminck
Deandra Dottin
